Northing,Easting,Latitude,Longitude
6727930.09,506148.26,60.68700015475074,15.112570064257136
6727967.5,506114.78,60.68733654691207,15.111958238800293
6727983.27,506103.38,60.687478309097266,15.111750002627284
6728001.0,506073.13,60.687637955289354,15.111196690008928
6728003.51,506082.6,60.68766034685152,15.111370159599424
6728026.5,506068.13,60.68786697813342,15.11110593158572
6728030.0,506048.41,60.687898701107336,15.1107449721534
6728025.0,506042.5,60.68785389894345,15.110636607528395
6728149.14,505933.25,60.68897010295911,15.108640030677575
6728173.29,505908.47,60.68918729620464,15.108187028610507
6728209.5,505869.0,60.68951298229658,15.107465399124617
6728209.5,505869.0,60.68951298229658,15.107465399124617
6708857.92,518706.6,60.515374349218256,15.340691751521387
6708360.64,519370.85,60.510878155847564,15.35274052798546
6708595.08,519024.65,60.51299956064725,15.346458880094747
6708783.86,518809.54,60.51470461175972,15.34255947525008
6708823.27,518753.23,60.515061077868694,15.34153770275366
6708850.25,518715.65,60.51530506419325,15.340855846779842
6717727.78,504802.24,60.59541838306979,15.087676346754334
6718246.37,504296.3,60.60008024908255,15.078450509985172
6718281.38,504262.15,60.60039494846161,15.07782768762775
6725389.64,505639.37,60.66419866277731,15.103179655975964
6725461.25,505647.34,60.66484148955541,15.103327537104883
6725994.56,505487.24,60.66963195636378,15.100413153405363
6726195.85,505386.49,60.67144057518853,15.098575017886546
6726666.03,505148.98,60.67566513628743,15.094240831690053
6732792.31,500290.9,60.73070179497076,15.005333395787034
6732865.55,500265.83,60.73135938084681,15.00487385901845
6733232.42,500156.27,60.73465329519976,15.00286542511583
6733328.59,500112.95,60.73551674937655,15.00207114901709
6733693.74,500056.2,60.738795173151935,15.001030636943018
6742486.71,500907.36,60.817739227820994,15.01668080634016
6742793.76,501590.09,60.82049382415455,15.029234552629639
6749863.81,506335.75,60.883922040624654,15.116716873181211
6750359.52,506022.31,60.88837743049677,15.110958160446001
6750630.96,505850.68,60.890816999401025,15.107804188290407
6752789.97,490584.71,60.910131953227605,14.826409549925547
6753007.72,490351.57,60.91208129869529,14.822100260298955
6753314.64,490022.96,60.91482867794281,14.81602543820367
6762848.3,477664.34,60.99991514292599,14.58703230257089
6762880.21,477609.41,61.00019850782083,14.586012995518342
6763198.03,477276.17,61.00303274145896,14.579814113464503
6763273.68,477245.02,61.00371010638769,14.579229152678282
6763269.0,477231.78,61.00366732720627,14.578984890846709
6763367.0,477190.38,61.00454474670058,14.578207705248081
6763457.0,477145.22,61.00535012254345,14.577361902073346
6763776.46,476782.84,61.008196964276806,14.570622149035879
6763796.73,476582.46,61.00836709791687,14.566913969555054
6763800.84,476539.21,61.008401426422026,14.566113623772353
6763804.56,476535.9,61.00843462638418,14.566051954578606
6763803.33,476465.47,61.00841938872564,14.564749608530184
6763806.19,476436.19,61.00844331700013,14.564207767270123
6763824.15,476402.18,61.00860252248706,14.563576590307663
6763808.0,476359.39,61.008454971890416,14.56278724303389
6763811.0,476330.5,61.00848017255003,14.562252594894106
6763815.18,476288.7,61.008515188983736,14.561479048314805
6763812.0,476279.84,61.0084861075054,14.56131558942698
6763811.5,476248.59,61.0084797385472,14.56073772894432
6763807.5,476235.53,61.008443041540154,14.560496699977543
6763806.0,476202.84,61.00842760458725,14.55989233408899
6763806.0,476165.25,61.00842533536824,14.559197164103562
6763815.0,476155.56,61.00850554848979,14.5590168417512
6763818.5,476119.22,61.00853477212555,14.558344350620196
6763816.0,476108.5,61.008511679003995,14.558146411729691
6763830.0,476053.75,61.00863404635977,14.557132140689365
6763831.0,476046.25,61.00864256867715,14.556993313641081
6763843.5,475981.19,61.008750833351144,14.555788552416335
6763849.12,475955.13,61.008799700138994,14.555305902026374
6763862.5,475896.06,61.00891621606786,14.554211795961134
6763878.77,475910.61,61.009063170716395,14.554478833523879
6763869.78,475854.42,61.00897902680372,14.553440798275108
6763879.43,475845.47,61.00906511297079,14.55327406174358
6763864.67,475747.16,61.00892657179086,14.551457802176811
6763670.77,475492.08,61.00717004842644,14.546765230665498
6763328.59,475195.55,61.00407955796885,14.541325897012154
