Northing,Easting,Latitude,Longitude
6710404,516217,60.52936372386311,15.295477377637619
6711133,515382,60.535941792276944,15.280320287496243
6711677,515457,60.54082317753809,15.281729505210395
6713750,507706,60.55965882484683,15.140536102935679
6725857,505553,60.66839598867694,15.101612627189091
6727156,504786,60.68006875731967,15.087609240723628
6727671,504194,60.684699243186834,15.076783521619348
6729439,502897,60.700584409895114,15.053064272418025
6732533,500380,60.72837356474122,15.006966461702426
6735771,500984,60.757444112730965,15.018055789273836
6744486,504721,60.83566211947669,15.086838927810089
6749483,506390,60.880502240415865,15.117703671288703
6750655,505835,60.891033062529836,15.107515996621544
6750920,505574,60.893415998209655,15.102714455174072
6752243,497925,60.90532770574801,14.96174884499215
6752171,497863,60.90468095785578,14.960606716630735
6750171,495359,60.886703465189015,14.914496301136042
6758321,484185,60.959585047514025,14.707964713045532
6760625,480998,60.98012950034629,14.64888770796171
6761084,480389,60.98422051977239,14.637588168808964
6763044,477370,61.00165530406044,14.581567260014188
6763737,476949,61.007852449719785,14.573699758690278
6763786,476690,61.00827713648582,14.56890406326446
6763629,473969,61.0066975039875,14.518605115540874
6763810,476993,61.0085103863802,14.574504689433718
